Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
12/31/2012 19:00,0.1,-2.7,81,30,9.7,100.13,Snow
12/31/2012 20:00,0.2,-2.4,83,24,9.7,100.03,Snow
12/31/2012 21:00,-0.5,-1.5,93,28,4.8,99.95,Snow
12/31/2012 22:00,-0.2,-1.8,89,28,9.7,99.91,Snow
12/31/2012 23:00,0.0,-2.1,86,30,11.3,99.89,Snow
